寝た時間,起きた時間,
0.5,5,
21.25,3.75,
2.5,8,
0,6.5,
22,6.5,
1.5,8,
2.5,9,
2,6.5,
2.5,7,
0,7.5,
0.5,8,
1.5,8,
0.5,6,
0.5,7,
22.25,5.75,
0.5,7,
0,6.5,
23.5,5,
21.5,4,
23.75,6.25,
2.5,9,
23,6.5,
23.5,8,
0,6.5,
0,6.5,
3,8.5,
0,6.5,
6.5,11,
0.5,6,
0.75,6.25,
0,5.5,
1,7.5,
3,7.5,
22,5.5,
0.75,7.25,
0.5,7,
22.5,6,
1.25,6.75,
1.5,7,
5.5,12,
23.5,7,
2.5,8,
23.5,7,
3.5,10,
0,6.5,
2,8.5,
3.5,9,
1.5,8,
3.5,9,
23.5,6,
,,
